post_table_id,search_table_id,city,country,post_question_text,url,date_updated,date_created,post_raw_Text,post_id,group_id,date_stamp,reactions_like,reactions_love,reactions_haha,reactions_wow,group_name,tag_1,tag_2,tag_3,tag_4,tag_5
1,1,Melbourne,Australia,Se necesita visa para hacer escala en Auckland?,https://m.facebook.com/groups/8599519511?view=permalink&id=10157271055259512,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
2,1,Melbourne,Australia,Se necesita visa para hacer escala en Auckland?,https://m.facebook.com/groups/8599519511?view=permalink&id=10156990656259512,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
3,2,Melbourne,Australia,¿Cuanto tiempo se tarda en obtener la visa para Nueva Zelanda estando en Australia?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157282834154512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
4,3,Melbourne,Australia,¿Qué agencias hay para irse a estudiar a Australia?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157273006629512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
5,4,Melbourne,Australia,¿Que tipo de seguro se neceita para trabajar haciendo entregas en scooter?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157282502859512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
6,5,Melbourne,Australia,"¿Qué se necesita para aplicar a una visa Australiana, adjuntando una oferta laboral?",https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157282480384512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
7,6,Melbourne,Australia,¿Por cual buscador puedo encontrar boletos aéreos económicos a Melbourne?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157270428754512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
8,7,Melbourne,Australia,¿Puedo solicitar una visa para Australia desde Estados Unidos siendo colombiano?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157282046764512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
9,8,Melbourne,Australia,¿Como hago para solicitar la visa americana desde Australia?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157282623064512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
10,9,Melbourne,Australia,¿Cómo aplico para una visa a Marruecos desde Melbourne?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157280098974512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
11,10,Melbourne,Australia,¿Por donde puedo mandar a traducir mi licencia de conducir?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157282028879512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
12,11,Melbourne,Australia,¿En qué términos puede quedar uno con su visa si ha incumplido la condición de trabajar solo 20 horas a la semana?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157283049704512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
13,12,Melbourne,Australia,¿Hay algun tipo de regulación para el ingreso de medicamentos a Australia?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157283855049512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
14,3,Melbourne,Australia, ¿Qué agencias tramitan la postgraduate visa?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157276927764512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
15,13,Melbourne,Australia,¿En donde puedo consultar las tarifas de las visas?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157285055289512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
16,14,Melbourne,Australia,¿Puedo cambiar mi visa de turista a una visa de estudiante?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157210378834512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
17,14,Melbourne,Australia,¿Se puede cambiar una visa de turista por una de estudiante estando en Australia?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157235039919512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
18,15,Melbourne,Australia,¿Puedo conseguir trabajo como abogado en Australia si me gradué de derecho en Colombia?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157285107009512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
19,16,Melbourne,Australia,¿Que instituciones hay para estudiar inglés en Melbourne?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157284872509512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
20,17,Melbourne,Australia,¿En que sitios venden maiz para hacer arepas en Melbourne?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157283117089512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
21,18,Melbourne,Australia,¿Que empresas ayudan para denuncias del tipo laboral?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157284838514512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
22,19,Melbourne,Australia,"¿Cual es la mejor manera de vistar Mt Buller, en carro propio o por agencia?",https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157277241639512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
23,20,Melbourne,Australia,¿En cuales iglesias hablan español en Melbourne?,https://www.facebook.com/groups/cluddecolombianosenmelbourne/permalink/10156440128498321/?sale_post_id=10156440128498321,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
24,21,Melbourne,Australia,¿Donde puedo apostillar un documento en Australia?,https://www.facebook.com/groups/cluddecolombianosenmelbourne/permalink/10156452865658321/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
25,22,Melbourne,Australia,¿Qué abogados me pueden recomendar que hablen español y trabajen temas con real state en Melbourne?,https://www.facebook.com/groups/cluddecolombianosenmelbourne/permalink/10156435760998321/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
26,23,Melbourne,Australia,"¿Como Colombiano, requiero visa para Japon?",https://www.facebook.com/groups/cluddecolombianosenmelbourne/permalink/10156434750603321/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
27,24,Melbourne,Australia,¿Que abogados que hablen español me pueden recomendar para temas de inmigración?,https://www.facebook.com/groups/cluddecolombianosenmelbourne/permalink/10156449563153321/?sale_post_id=10156449563153321,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
28,16,Melbourne,Australia,¿Cuales institutos recomiendan para estudiar ingles?,https://www.facebook.com/groups/cluddecolombianosenmelbourne/permalink/10156410282628321/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
29,3,Melbourne,Australia,¿Qué agencias me pueden recomendar para una extensión de visa?,https://www.facebook.com/groups/cluddecolombianosenmelbourne/permalink/10156432779748321/?sale_post_id=10156432779748321,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
30,6,Melbourne,Australia,¿Qué hoteles y lugares para visitar en Tailandia me reocmiendan?,https://www.facebook.com/groups/477322262316095/permalink/2239834879398149/?sale_post_id=2239834879398149,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
31,25,Melbourne,Australia,¿Quien se encarga de hacer el tax return para que te devuelvan la mayor cantidad de dinero posible?,https://www.facebook.com/groups/477322262316095/permalink/2236592759722361/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
32,26,Melbourne,Australia,¿Que compañias de seguros me recomiendan para comprar el seguro medico que piden para la solicitud de la visa?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157271973619512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
33,27,Sydney,Australia,¿Por que medio puedo buscar para convivir con una familia Australiana?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/1154722834651431/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
34,8,Sydney,Australia,¿Qué agencia me recomiendan para tramitar la visa americana?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/1158073114316403/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
35,28,Sydney,Australia,¿Cual pagina me recomiendan para encontrar cruceros baratos?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/1158365570953824/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
36,18,Sydney,Australia,¿Cuales son los pasos para denunciar a alguien que no me ha pagado?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/1151418311648550/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
37,21,Sydney,Australia,¿Como puedo autenticar un poder estando en Australia?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/1158615200928861/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
38,30,Sydney,Australia,¿Western union funciona normalmente en Sydney?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/1158374020952979/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
39,31,Sydney,Australia,¿Dónde puedo encontrar un médico que hable el español?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/1158347634288951/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
40,32,Sydney,Australia,¿En qué lugar puedo alquilar bicicletas económicas?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/1017121515078231/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
41,33,Sydney,Australia,¿Cuánto tiempo se tardan en aprobar la visa?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/1152429454880769/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
42,34,Sydney,Australia,¿Es posible que una agencia me preste dinero para demostrar solvencia económica al momento de solicitar la visa y luego devolverlo?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/1142615385862176/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
43,35,Sydney,Australia,¿Qué requisitos piden para la visa de facto o de pareja?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/722175674572818/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
44,3,Sydney,Australia,¿Qué agencia me recomiendan para extender la visa australiana por segunda vez?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/1141697822620599/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
45,36,Sydney,Australia,¿Cuánto tiempo se demora y cuánto cuesta una visa de tránsito?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/542144285909292/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
46,8,Sydney,Australia,¿Cómo es el proceso de sacar la visa americana en Australia en comparación con sacarla en Colombia?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/1133775203412861/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
47,8,Sydney,Australia,¿Cómo hago para tramitar la visa americana?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/1070935336363515/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
48,37,Sydney,Australia,"¿Los colombianos necesitamos visa para ir a Filipinas, Vietnam y Myanmar ?",https://www.facebook.com/groups/colombianosensydneyoficial/permalink/1142101835913531/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
49,38,Sydney,Australia,Si tengo una visa válida por un año y ya viajé a Australia por 3 meses. ¿Puedo volver a viajar usando la misma visa si aún está vigente?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/1109853312471717/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
50,39,Sydney,Australia,¿Qué es más fácil sacar la visa de turismo y luego estando en Australia solicitar la de estudiante o solicitar de una vez la visa de estudiante desde Colombia?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/797967316993653/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
51,40,Sydney,Australia,¿Se necesita visa para hacer escala en Japon?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/647969778660075/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
52,41,Sydney,Australia,¿Los colombianos necesitamos visa para ir a Corea del Sur?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/1106957596094622/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
53,12,Melbourne,Australia,¿Se pueden enviar medicinas desde Colombia hasta Australia por encomienda?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10156770665929512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
54,12,Melbourne,Australia,¿Donde es mas recomendable llevar las medicinas en la maleta de mano o en el equipaje de bodega?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10156510257559512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
55,12,Melbourne,Australia,¿Cuanto es la cantidad maxima permitida de medicamentos que se pueden llevar en el equipaje?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10154961330994512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
56,44,Melbourne,Australia,"¿Hay educacion de pre escolar gratis, para los hijos de inmigrantes?",https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157227182334512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
57,45,Melbourne,Australia,¿Cuanto es el promedio de pago por hora y cuantas horas se pueden trabajar?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10156439267564512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
58,46,Melbourne,Australia,¿Cuanto dinero debo llevar aproximadamente para cubrir mis gastos mientras consigo trabajo y cuánto tiempo lleva encontrar trabajo?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157193876489512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
59,16,Melbourne,Australia,¿Que escuelas me recomiendan para un diplomado relacionado con negocios internacionales?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157195327019512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
60,47,Melbourne,Australia,¿Donde hay iglesias cristianas en Melbourne ?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10155498407754512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
61,23,Melbourne,Australia,¿Puede alguien con visa de turista solicitar una visa para Japón estando en Australia o debe tramitarla por Colombia?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10156608702899512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
62,49,Melbourne,Australia,¿Los colombianos necesitamos visa de tránsito para China?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10154429960054512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
63,47,Melbourne,Australia,¿Qué iglesia cristiana me pueden recomendar en Melbourne?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10155054152124512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
64,20,Melbourne,Australia,¿En qué iglesias hay misa en español?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10154558860454512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
65,50,Melbourne,Australia,¿Cuánto tiempo debo esperar para volver a aplicar a la visa si me la niegan?,https://www.facebook.com/groups/cluddecolombianosenmelbourne/permalink/10155879815088321/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
66,23,Melbourne,Australia,¿Los colombianos requerimos visa para viajar a Malasia?,https://www.facebook.com/groups/cluddecolombianosenmelbourne/permalink/10154339656118321/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
67,16,Melbourne,Australia,¿Donde dan cursos de preparación para el examen de ingles PTE?,https://www.facebook.com/groups/cluddecolombianosenmelbourne/permalink/10154666260103321/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
68,20,Melbourne,Australia,¿Que iglesias hay donde la misa sea en español?,https://www.facebook.com/groups/cluddecolombianosenmelbourne/permalink/10154555374983321/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
69,18,Melbourne,Australia,¿Cómo se llama la entidad para denunciar empresas que no pagan?,https://www.facebook.com/groups/cluddecolombianosenmelbourne/permalink/10154763105828321/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
70,52,Melbourne,Australia,¿Qué aerolíneas que viajen a Melbourne permiten dos maletas gratis de equipaje de bodega?,https://www.facebook.com/groups/cluddecolombianosenmelbourne/permalink/10156449734583321/?sale_post_id=10156449734583321,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
71,52,Melbourne,Australia,¿Cuantas maletas se pueden llevar en vuelo de Estados Unidos a Australia con la aerolinea United?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157292163404512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
72,16,Melbourne,Australia,¿Donde se presenta el  IELTS Académico para estudios universitarios y cuánto cuesta?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10157291668214512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
73,16,Melbourne,Australia,¿Qué tan difícil es el examen IELTS y qué recomendaciones me dan para presentarlo?,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10155543813364512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
74,16,Melbourne,Australia,¿Qué páginas tienen ejercicios del examen IELTS ACADEMIC con los que pueda estudiar? ,https://www.facebook.com/groups/colombianosenmelbourneaustralia/permalink/10156103490559512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
75,16,Melbourne,Australia,¿Qué profesores me pueden recomendar con experiencia para preparación para el  IELTS?,https://www.facebook.com/groups/cluddecolombianosenmelbourne/permalink/10155742002003321/?sale_post_id=10155742002003321&rt=11,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
76,53,Melbourne,Australia,¿Me pueden aprobar la visa despues de haber sido negada antes?,https://www.facebook.com/groups/cluddecolombianosenmelbourne/permalink/10156459978123321/?sale_post_id=10156459978123321&rt=11,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
77,37,Melbourne,Australia,¿Es cierto que  la Visa para Vietnam se retira directamente en el aeropuerto?,https://www.facebook.com/groups/cluddecolombianosenmelbourne/permalink/10156297876913321/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
78,16,Sydney,Australia," ¿Qué cursos de preparación para test de inglés (CAE, TOEFL, IELTS) me pueden recomendar en Sydney?",https://www.facebook.com/groups/colombianosensydneyoficial/permalink/1052918601498522/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
79,16,Sydney,Australia,¿Qué tutor privado me pueden recomendar para el IELTS?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/660298354093884/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
80,55,Sydney,Australia,¿Cómo es el examen del IELTS a computadora?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/784492061674512/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
81,16,Sydney,Australia,¿Qué instituto me pueden recomendar para estudiar para el IELTS?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/640511986072521/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
82,56,Sydney,Australia,¿Cual examen de ingles es más recomendable tomar para irse a estudiar o trabajar en Australia?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/646670482123338/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
83,16,Sydney,Australia,¿Qué profesor me pueden recomendar que se especialice en preparación para el  IELTS?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/993181624138887/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
84,57,Sydney,Australia,¿Cómo puedo lograr la financiación para estudiar un postgrado en Australia?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/712850145505371/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
85,58,Sydney,Australia,¿Donde puedo comprar o prestar libros de preparación para el IETLS?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/740463256077393/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
86,59,Sydney,Australia,¿Puedo cambiarme de colegio sin que afecte la renovación de mi próxima visa?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/568309673292753/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
87,55,Sydney,Australia,¿Cual prueba de inglés es más conveniente tomar PTE Academic or Cambridge C1?,https://www.facebook.com/groups/colombianosensydneyoficial/permalink/944390625684654/,6-Aug-19,6-Aug-19,,,,,,,,,,,,,,
